module,available,module_path,required_for_tum,required_for_replica
torch,True,/disk1/zlab/conda_envs/safer_splat_official/lib/python3.10/site-packages/torch/__init__.py,False,False
numpy,True,/disk1/zlab/conda_envs/safer_splat_official/lib/python3.10/site-packages/numpy/__init__.py,True,False
scipy,True,/disk1/zlab/conda_envs/safer_splat_official/lib/python3.10/site-packages/scipy/__init__.py,False,False
PIL,True,/disk1/zlab/conda_envs/safer_splat_official/lib/python3.10/site-packages/PIL/__init__.py,True,False
cv2,True,/disk1/zlab/conda_envs/safer_splat_official/lib/python3.10/site-packages/cv2/__init__.py,False,False
open3d,True,/disk1/zlab/conda_envs/safer_splat_official/lib/python3.10/site-packages/open3d/__init__.py,False,False
trimesh,True,/disk1/zlab/conda_envs/safer_splat_official/lib/python3.10/site-packages/trimesh/__init__.py,False,False
nerfstudio,True,/disk1/zlab/conda_envs/safer_splat_official/lib/python3.10/site-packages/nerfstudio/__init__.py,False,False
gsplat,True,/disk1/zlab/conda_envs/safer_splat_official/lib/python3.10/site-packages/gsplat/__init__.py,False,False
habitat_sim,False,,False,True
