activation_index,trajectory_step,source
1,1,original_trial20_comparator
2,2,original_trial20_comparator
3,3,original_trial20_comparator
4,4,original_trial20_comparator
5,5,original_trial20_comparator
6,6,original_trial20_comparator
7,7,original_trial20_comparator
8,8,original_trial20_comparator
9,9,original_trial20_comparator
10,10,original_trial20_comparator
11,11,original_trial20_comparator
12,12,original_trial20_comparator
13,13,original_trial20_comparator
14,14,original_trial20_comparator
15,15,original_trial20_comparator
16,16,original_trial20_comparator
17,17,original_trial20_comparator
18,18,original_trial20_comparator
19,19,original_trial20_comparator
20,20,original_trial20_comparator
21,21,original_trial20_comparator
22,22,original_trial20_comparator
23,23,original_trial20_comparator
24,24,original_trial20_comparator
25,25,original_trial20_comparator
26,26,original_trial20_comparator
27,27,original_trial20_comparator
28,28,original_trial20_comparator
29,29,original_trial20_comparator
30,30,original_trial20_comparator
31,31,original_trial20_comparator
32,32,original_trial20_comparator
33,33,original_trial20_comparator
34,34,original_trial20_comparator
