module_name,expected_repo_path,imported_by,source_exists,target_exists,source_sha256,git_tracked_at_source,required_for_module_import,required_for_v4c_shadow,required_only_for_cli_or_reporting,restoration_candidate,decision,reason,notes
__future__,__future__.py,run_risk_aware_v1_pre_cbf_comparison;run_v4b_corrective_dt_filter;run_v4c_hstep_predictive_recovery,false,false,,not_measured,true,true,false,false,stdlib,Python standard library,Static AST dependency classification.
argparse,argparse.py,run_risk_aware_v1_pre_cbf_comparison;run_v4b_corrective_dt_filter;run_v4c_hstep_predictive_recovery,false,false,,not_measured,true,true,false,false,stdlib,Python standard library,Static AST dependency classification.
cbf.cbf_utils,cbf/cbf_utils.py,run_risk_aware_v1_pre_cbf_comparison,true,true,,not_measured,true,true,false,false,already_present,Required local module already exists in target branch,Static AST dependency classification.
csv,csv.py,run_risk_aware_v1_pre_cbf_comparison;run_v4b_corrective_dt_filter;run_v4c_hstep_predictive_recovery,false,false,,not_measured,true,true,false,false,stdlib,Python standard library,Static AST dependency classification.
dataclasses,dataclasses.py,run_v4b_corrective_dt_filter;run_v4c_hstep_predictive_recovery,false,false,,not_measured,true,true,false,false,stdlib,Python standard library,Static AST dependency classification.
datetime,datetime.py,run_risk_aware_v1_pre_cbf_comparison;run_v4b_corrective_dt_filter;run_v4c_hstep_predictive_recovery,false,false,,not_measured,true,true,false,false,stdlib,Python standard library,Static AST dependency classification.
dynamics.systems,dynamics/systems.py,run_risk_aware_v1_pre_cbf_comparison;run_v4b_corrective_dt_filter;run_v4c_hstep_predictive_recovery,true,true,,not_measured,true,true,false,false,already_present,Required local module already exists in target branch,Static AST dependency classification.
json,json.py,run_risk_aware_v1_pre_cbf_comparison;run_v4b_corrective_dt_filter;run_v4c_hstep_predictive_recovery,false,false,,not_measured,true,true,false,false,stdlib,Python standard library,Static AST dependency classification.
math,math.py,run_risk_aware_v1_pre_cbf_comparison;run_v4b_corrective_dt_filter;run_v4c_hstep_predictive_recovery,false,false,,not_measured,true,true,false,false,stdlib,Python standard library,Static AST dependency classification.
matplotlib,matplotlib.py,run_risk_aware_v1_pre_cbf_comparison;run_v4b_corrective_dt_filter;run_v4c_hstep_predictive_recovery,false,false,,not_measured,true,false,true,false,third_party_dependency,Environment dependency; never copied into repository,Static AST dependency classification.
matplotlib.pyplot,matplotlib/pyplot.py,run_risk_aware_v1_pre_cbf_comparison;run_v4b_corrective_dt_filter;run_v4c_hstep_predictive_recovery,false,false,,not_measured,true,false,true,false,third_party_dependency,Environment dependency; never copied into repository,Static AST dependency classification.
numpy,numpy.py,run_risk_aware_v1_pre_cbf_comparison;run_v4b_corrective_dt_filter;run_v4c_hstep_predictive_recovery,false,false,,not_measured,true,true,false,false,third_party_dependency,Environment dependency; never copied into repository,Static AST dependency classification.
pandas,pandas.py,run_risk_aware_v1_pre_cbf_comparison,false,false,,not_measured,true,false,true,false,third_party_dependency,Environment dependency; never copied into repository,Static AST dependency classification.
pathlib,pathlib.py,run_risk_aware_v1_pre_cbf_comparison;run_v4b_corrective_dt_filter;run_v4c_hstep_predictive_recovery,false,false,,not_measured,true,true,false,false,stdlib,Python standard library,Static AST dependency classification.
run_risk_aware_v1_pre_cbf_comparison,work/risk_aware_cbf/scripts/run_risk_aware_v1_pre_cbf_comparison.py,run_v4b_corrective_dt_filter;run_v4c_hstep_predictive_recovery,true,true,e846ff625ed52d197844bdb2f56df72ab8e09cb3d94f0b42724520112268176e,false,true,true,false,false,already_present,Required local module already exists in target branch,Static AST dependency classification.
run_v4b_corrective_dt_filter,work/risk_aware_cbf/scripts/run_v4b_corrective_dt_filter.py,run_v4c_hstep_predictive_recovery,true,true,573c0587e238eb160928a8b5349239fc852af91791877d87f6abe55e0062f862,false,true,true,false,false,already_present,Required local module already exists in target branch,Static AST dependency classification.
scipy,scipy.py,run_risk_aware_v1_pre_cbf_comparison,false,false,,not_measured,true,true,false,false,third_party_dependency,Environment dependency; never copied into repository,Static AST dependency classification.
splat.gsplat_utils,splat/gsplat_utils.py,run_risk_aware_v1_pre_cbf_comparison;run_v4b_corrective_dt_filter;run_v4c_hstep_predictive_recovery,true,true,,not_measured,true,true,false,false,already_present,Required local module already exists in target branch,Static AST dependency classification.
sys,sys.py,run_risk_aware_v1_pre_cbf_comparison;run_v4b_corrective_dt_filter;run_v4c_hstep_predictive_recovery,false,false,,not_measured,true,true,false,false,stdlib,Python standard library,Static AST dependency classification.
time,time.py,run_risk_aware_v1_pre_cbf_comparison;run_v4b_corrective_dt_filter;run_v4c_hstep_predictive_recovery,false,false,,not_measured,true,true,false,false,stdlib,Python standard library,Static AST dependency classification.
torch,torch.py,run_risk_aware_v1_pre_cbf_comparison;run_v4b_corrective_dt_filter;run_v4c_hstep_predictive_recovery,false,false,,not_measured,true,true,false,false,third_party_dependency,Environment dependency; never copied into repository,Static AST dependency classification.
traceback,traceback.py,run_risk_aware_v1_pre_cbf_comparison;run_v4b_corrective_dt_filter;run_v4c_hstep_predictive_recovery,false,false,,not_measured,true,true,false,false,stdlib,Python standard library,Static AST dependency classification.
typing,typing.py,run_risk_aware_v1_pre_cbf_comparison;run_v4b_corrective_dt_filter;run_v4c_hstep_predictive_recovery,false,false,,not_measured,true,true,false,false,stdlib,Python standard library,Static AST dependency classification.
