variant,activation_index,trajectory_step,feasible,best_min_h,selected_family,candidate_count,progress_proxy,shadow_only
D0_H3_N128,1,1,False,0.00036034989170730114,repulsive,150,,True
D0_H3_N128,18,18,False,0.0003829323686659336,baseline,159,,True
D0_H3_N128,34,34,False,0.00048790278378874063,baseline,159,,True
D1_H3_N512,1,1,False,0.00036034989170730114,repulsive,534,,True
D1_H3_N512,18,18,False,0.0003829323686659336,baseline,543,,True
D1_H3_N512,34,34,False,0.00048790278378874063,baseline,543,,True
D2_H3_CEM,1,1,False,0.00036034989170730114,repulsive,167,,True
D2_H3_CEM,18,18,False,0.0003829323686659336,baseline,176,,True
D2_H3_CEM,34,34,False,0.00048790278378874063,baseline,176,,True
D3_H4_N128,1,1,False,0.00036034989170730114,repulsive,150,,True
D3_H4_N128,18,18,False,0.0003829323686659336,baseline,159,,True
D3_H4_N128,34,34,False,0.00048790278378874063,continuity,159,,True
D4_H5_N128,1,1,False,0.00036034989170730114,repulsive,150,,True
D4_H5_N128,18,18,False,0.0003829323686659336,baseline,159,,True
D4_H5_N128,34,34,False,0.00048790278378874063,continuity,159,,True
