activation_index,trajectory_step,current_activation_feasible,one_step_earlier_feasible,two_steps_earlier_feasible,warning_threshold_feasible,early_trigger_opportunity,shadow_only
1,1,False,,,False,False,True
2,2,False,False,,False,False,True
3,3,False,False,False,False,False,True
4,4,False,False,False,False,False,True
5,5,False,False,False,False,False,True
6,6,False,False,False,False,False,True
7,7,False,False,False,False,False,True
8,8,False,False,False,False,False,True
9,9,False,False,False,False,False,True
10,10,False,False,False,False,False,True
11,11,False,False,False,False,False,True
12,12,False,False,False,False,False,True
13,13,False,False,False,False,False,True
14,14,False,False,False,False,False,True
15,15,False,False,False,False,False,True
16,16,False,False,False,False,False,True
17,17,False,False,False,False,False,True
18,18,False,False,False,False,False,True
19,19,False,False,False,False,False,True
20,20,False,False,False,False,False,True
21,21,False,False,False,False,False,True
22,22,False,False,False,False,False,True
23,23,False,False,False,False,False,True
24,24,False,False,False,False,False,True
25,25,False,False,False,False,False,True
26,26,False,False,False,False,False,True
27,27,False,False,False,False,False,True
28,28,False,False,False,False,False,True
29,29,False,False,False,False,False,True
30,30,False,False,False,False,False,True
31,31,False,False,False,False,False,True
32,32,False,False,False,False,False,True
33,33,False,False,False,False,False,True
34,34,False,False,False,False,False,True
